label,lh_0_x,lh_0_y,lh_0_z,lh_1_x,lh_1_y,lh_1_z,lh_2_x,lh_2_y,lh_2_z,lh_3_x,lh_3_y,lh_3_z,lh_4_x,lh_4_y,lh_4_z,lh_5_x,lh_5_y,lh_5_z,lh_6_x,lh_6_y,lh_6_z,lh_7_x,lh_7_y,lh_7_z,lh_8_x,lh_8_y,lh_8_z,lh_9_x,lh_9_y,lh_9_z,lh_10_x,lh_10_y,lh_10_z,lh_11_x,lh_11_y,lh_11_z,lh_12_x,lh_12_y,lh_12_z,lh_13_x,lh_13_y,lh_13_z,lh_14_x,lh_14_y,lh_14_z,lh_15_x,lh_15_y,lh_15_z,lh_16_x,lh_16_y,lh_16_z,lh_17_x,lh_17_y,lh_17_z,lh_18_x,lh_18_y,lh_18_z,lh_19_x,lh_19_y,lh_19_z,lh_20_x,lh_20_y,lh_20_z,rh_0_x,rh_0_y,rh_0_z,rh_1_x,rh_1_y,rh_1_z,rh_2_x,rh_2_y,rh_2_z,rh_3_x,rh_3_y,rh_3_z,rh_4_x,rh_4_y,rh_4_z,rh_5_x,rh_5_y,rh_5_z,rh_6_x,rh_6_y,rh_6_z,rh_7_x,rh_7_y,rh_7_z,rh_8_x,rh_8_y,rh_8_z,rh_9_x,rh_9_y,rh_9_z,rh_10_x,rh_10_y,rh_10_z,rh_11_x,rh_11_y,rh_11_z,rh_12_x,rh_12_y,rh_12_z,rh_13_x,rh_13_y,rh_13_z,rh_14_x,rh_14_y,rh_14_z,rh_15_x,rh_15_y,rh_15_z,rh_16_x,rh_16_y,rh_16_z,rh_17_x,rh_17_y,rh_17_z,rh_18_x,rh_18_y,rh_18_z,rh_19_x,rh_19_y,rh_19_z,rh_20_x,rh_20_y,rh_20_z
ぁ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104851007,0.015836492,-0.00792483,-0.182462037,0.082648262,-0.023000497,-0.255996585,0.132268593,-0.035113888,-0.315966636,0.143386856,-0.049039742,-0.153275907,0.20207645,-0.064382507,-0.168103278,0.370288953,-0.083994163,-0.174836576,0.466776237,-0.093402332,-0.176062584,0.540863439,-0.099321915,-0.091241121,0.236322209,-0.061686626,-0.112912238,0.318044916,-0.069278052,-0.113121331,0.273382112,-0.052139955,-0.103996634,0.222819135,-0.042945227,-0.033240855,0.247376546,-0.056238094,-0.064933777,0.308134183,-0.059680274,-0.063517153,0.271232441,-0.037346197,-0.051390171,0.226820424,-0.025538446,0.014647484,0.253384992,-0.050780641,-0.017845154,0.300127879,-0.047480496,-0.016510069,0.261542752,-0.027947972,-0.006792605,0.223428354,-0.01525151
ぁ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103489518,0.013921276,-0.007265873,-0.179360092,0.077409416,-0.023638094,-0.253242433,0.126919955,-0.037340137,-0.314697087,0.139807433,-0.052842526,-0.157681882,0.198754191,-0.064571879,-0.171946883,0.370674342,-0.085662773,-0.177937567,0.467995673,-0.095529741,-0.179060429,0.542941064,-0.10123886,-0.095584929,0.234559268,-0.061986967,-0.11411643,0.31616199,-0.069888121,-0.112246156,0.269838482,-0.051776121,-0.103554845,0.217928708,-0.041570286,-0.036534369,0.246986181,-0.056724663,-0.065167487,0.305242866,-0.060358694,-0.061359584,0.267511398,-0.037262614,-0.049166679,0.222935677,-0.024640287,0.012927473,0.254302889,-0.05133242,-0.018103838,0.297079355,-0.046980648,-0.013792515,0.256499082,-0.026199394,-0.003632724,0.218271285,-0.012403168
ぁ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.105366647,0.01621443,-0.00647808,-0.180646122,0.081396133,-0.021916482,-0.252654731,0.132131964,-0.035264406,-0.313519031,0.144230932,-0.050396889,-0.155516386,0.203957379,-0.060723654,-0.16854465,0.372220069,-0.080454677,-0.174327672,0.468383759,-0.08973585,-0.175483078,0.542426914,-0.09533441,-0.093030393,0.238382995,-0.059437815,-0.111866295,0.314389795,-0.067965306,-0.110540628,0.268633127,-0.051244843,-0.101351738,0.217671126,-0.041739415,-0.033949316,0.248749137,-0.055504545,-0.063064396,0.303948343,-0.060275536,-0.059866726,0.26585871,-0.038121614,-0.047851563,0.221942306,-0.025745155,0.015444696,0.25384298,-0.051420796,-0.015689194,0.296949238,-0.047889731,-0.012271583,0.256907523,-0.027299845,-0.002433896,0.218953133,-0.0134136
ぁ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104394019,0.018561885,-0.002804502,-0.180921197,0.085088313,-0.016649151,-0.253140748,0.134488702,-0.028877957,-0.312106967,0.14675951,-0.043142214,-0.152935326,0.206245273,-0.058740731,-0.165033698,0.374686718,-0.07723517,-0.169896334,0.470231354,-0.08565738,-0.169784516,0.542208135,-0.090533398,-0.091724515,0.239259392,-0.058689154,-0.107783735,0.315966964,-0.064735845,-0.106021285,0.271637976,-0.04718991,-0.097986698,0.221252292,-0.037656892,-0.033353925,0.248476684,-0.055554334,-0.060341597,0.303165883,-0.057825174,-0.057062566,0.267072141,-0.035465475,-0.045441031,0.223714709,-0.023606084,0.015745401,0.252625167,-0.051924072,-0.013750434,0.295298219,-0.046193827,-0.010897934,0.25665766,-0.024958327,-0.001226187,0.218978465,-0.011005721
ぁ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103937745,0.018411294,-0.005015197,-0.17978695,0.084809721,-0.019586996,-0.252291679,0.133809149,-0.03179988,-0.311383009,0.147643626,-0.045743984,-0.154024482,0.201919049,-0.060480923,-0.166020811,0.369513184,-0.079077319,-0.170955122,0.464757591,-0.087169447,-0.171037108,0.538052231,-0.091851101,-0.093681335,0.235595495,-0.059060932,-0.108086288,0.317296773,-0.064830833,-0.105756044,0.272640049,-0.046589938,-0.098161221,0.221331954,-0.036420588,-0.035770893,0.246964872,-0.054797356,-0.062343001,0.303450644,-0.05659755,-0.058741927,0.267069429,-0.033856601,-0.047644734,0.223911583,-0.021752989,0.012589812,0.253558248,-0.050273307,-0.017212391,0.295458287,-0.044434891,-0.013446152,0.256886512,-0.023596775,-0.004045725,0.220465988,-0.009967661
ぁ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103751063,0.017176419,-0.001782064,-0.178783596,0.084346473,-0.014962956,-0.251579195,0.134781867,-0.026205987,-0.31069535,0.148657918,-0.039390941,-0.153201461,0.200609058,-0.059234217,-0.165464759,0.369688332,-0.077374801,-0.170372218,0.465143859,-0.085353352,-0.170174032,0.538182318,-0.089859724,-0.092625797,0.235389769,-0.058457084,-0.110207081,0.318535656,-0.062225335,-0.109879613,0.274265498,-0.042860329,-0.10254401,0.223250449,-0.032577269,-0.035024762,0.24602288,-0.054462925,-0.063980281,0.304631561,-0.054730136,-0.061269224,0.268242419,-0.031541232,-0.049545467,0.224653959,-0.019735914,0.012542665,0.251127809,-0.049805425,-0.018892109,0.295964777,-0.042503763,-0.015710115,0.256879181,-0.020810739,-0.005669713,0.218885332,-0.007139765
ぁ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.103333294,0.018431127,-0.004624575,-0.180076212,0.084770009,-0.019201003,-0.251738548,0.134648845,-0.031231697,-0.310700655,0.148204967,-0.045098496,-0.152628124,0.201859698,-0.061533747,-0.165051997,0.369420901,-0.079364193,-0.16974017,0.463526502,-0.087183928,-0.169681221,0.535447374,-0.091829231,-0.091859162,0.235535935,-0.06003178,-0.110430181,0.316896334,-0.064215434,-0.110743105,0.272943482,-0.045582702,-0.103636324,0.222935006,-0.035937132,-0.03457725,0.245849982,-0.05542547,-0.064978838,0.304788664,-0.055818891,-0.062733889,0.268353954,-0.032418707,-0.05117768,0.225181654,-0.020601155,0.012845278,0.251085028,-0.050505055,-0.020206988,0.29736872,-0.044168474,-0.01767838,0.258740142,-0.022728083,-0.007639527,0.221644893,-0.00907996
ぁ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10262233,0.017727509,-0.003295455,-0.179224998,0.082813293,-0.017940226,-0.251720786,0.133092076,-0.0303729,-0.311503053,0.146687299,-0.04471884,-0.154949665,0.198589057,-0.060391557,-0.168706179,0.36779815,-0.078522769,-0.173305839,0.463178933,-0.086115089,-0.173273593,0.536128104,-0.090428022,-0.095237494,0.233063072,-0.059634757,-0.110639632,0.317368984,-0.064391931,-0.108072817,0.272921443,-0.045540572,-0.100648999,0.221409261,-0.035195914,-0.037502706,0.244698167,-0.055719865,-0.064404547,0.302611649,-0.056024955,-0.06044513,0.265636802,-0.032205512,-0.049009621,0.222008586,-0.019769891,0.010917485,0.250696927,-0.051416447,-0.018679917,0.293761194,-0.043779981,-0.0149526,0.254638463,-0.021662208,-0.005628288,0.217748284,-0.007455438
ぁ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.101847768,0.018211797,-0.003028111,-0.177607983,0.082812473,-0.01748192,-0.249285281,0.132172331,-0.030063844,-0.309444726,0.144718692,-0.044604538,-0.154679537,0.199671313,-0.058090182,-0.166957945,0.366606399,-0.07602421,-0.171226591,0.460969552,-0.083414531,-0.171397984,0.532637462,-0.087516694,-0.095187485,0.233401313,-0.057725182,-0.109414995,0.314199075,-0.0630614,-0.106547117,0.26920937,-0.044766767,-0.098956287,0.21780695,-0.034388496,-0.037489414,0.244114861,-0.054357754,-0.061585844,0.299100474,-0.055501702,-0.057138801,0.262117699,-0.032714179,-0.046324551,0.218658313,-0.02045309,0.011306703,0.249228194,-0.05054397,-0.015322208,0.29071568,-0.043408914,-0.011819661,0.251754388,-0.021947405,-0.003704369,0.214358911,-0.007867032
ぁ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.101403236,0.017986298,-0.003221919,-0.178259671,0.083033934,-0.017666362,-0.25009501,0.132185608,-0.030041547,-0.309647441,0.144678771,-0.04435737,-0.15467006,0.197992563,-0.059302333,-0.167693108,0.364467502,-0.077975135,-0.172402322,0.458863795,-0.085888776,-0.172739029,0.530858874,-0.090249795,-0.095025957,0.231112331,-0.058868899,-0.108628452,0.315619826,-0.064717266,-0.105810881,0.270948052,-0.046280678,-0.098555565,0.21900019,-0.035814303,-0.037451446,0.241659522,-0.055416982,-0.062012076,0.302106321,-0.05725187,-0.058349311,0.265980422,-0.034126251,-0.048054576,0.222136259,-0.021575491,0.011193931,0.246878594,-0.051469519,-0.017034531,0.292910933,-0.044986136,-0.013700366,0.254275948,-0.023273788,-0.00550735,0.216566145,-0.009067359
