label,lh_0_x,lh_0_y,lh_0_z,lh_1_x,lh_1_y,lh_1_z,lh_2_x,lh_2_y,lh_2_z,lh_3_x,lh_3_y,lh_3_z,lh_4_x,lh_4_y,lh_4_z,lh_5_x,lh_5_y,lh_5_z,lh_6_x,lh_6_y,lh_6_z,lh_7_x,lh_7_y,lh_7_z,lh_8_x,lh_8_y,lh_8_z,lh_9_x,lh_9_y,lh_9_z,lh_10_x,lh_10_y,lh_10_z,lh_11_x,lh_11_y,lh_11_z,lh_12_x,lh_12_y,lh_12_z,lh_13_x,lh_13_y,lh_13_z,lh_14_x,lh_14_y,lh_14_z,lh_15_x,lh_15_y,lh_15_z,lh_16_x,lh_16_y,lh_16_z,lh_17_x,lh_17_y,lh_17_z,lh_18_x,lh_18_y,lh_18_z,lh_19_x,lh_19_y,lh_19_z,lh_20_x,lh_20_y,lh_20_z,rh_0_x,rh_0_y,rh_0_z,rh_1_x,rh_1_y,rh_1_z,rh_2_x,rh_2_y,rh_2_z,rh_3_x,rh_3_y,rh_3_z,rh_4_x,rh_4_y,rh_4_z,rh_5_x,rh_5_y,rh_5_z,rh_6_x,rh_6_y,rh_6_z,rh_7_x,rh_7_y,rh_7_z,rh_8_x,rh_8_y,rh_8_z,rh_9_x,rh_9_y,rh_9_z,rh_10_x,rh_10_y,rh_10_z,rh_11_x,rh_11_y,rh_11_z,rh_12_x,rh_12_y,rh_12_z,rh_13_x,rh_13_y,rh_13_z,rh_14_x,rh_14_y,rh_14_z,rh_15_x,rh_15_y,rh_15_z,rh_16_x,rh_16_y,rh_16_z,rh_17_x,rh_17_y,rh_17_z,rh_18_x,rh_18_y,rh_18_z,rh_19_x,rh_19_y,rh_19_z,rh_20_x,rh_20_y,rh_20_z
¤©,0.0,0.0,0.0,0.07095623016357422,-0.09034568071365356,0.015031168523080396,0.15102139115333557,-0.08828103542327881,0.015207364509649324,0.20142477750778198,-0.031588733196258545,0.018280234473593282,0.23153790831565857,0.018486499786376953,0.02100129640365367,0.18541374802589417,-0.08466601371765137,-0.0444368195656466,0.28009676933288574,-0.11450743675231934,-0.05084684090053315,0.33462274074554443,-0.13822096586227417,-0.047514434618108226,0.3823155164718628,-0.15839722752571106,-0.0458912474039721,0.18337315320968628,-0.015854239463806152,-0.053930390340440226,0.2937525510787964,-0.01920682191848755,-0.07917234272991891,0.35918211936950684,-0.02140110731124878,-0.08875279845034356,0.4094885587692261,-0.022043883800506592,-0.09375118435656304,0.17138200998306274,0.046216487884521484,-0.05543261737858529,0.2713143825531006,0.09259623289108276,-0.08002798230683084,0.32850366830825806,0.11219322681427002,-0.09016989142929788,0.36676061153411865,0.12930208444595337,-0.09291144431864495,0.15429270267486572,0.09401100873947144,-0.05130969704424615,0.22681564092636108,0.09449958801269531,-0.05304706813132043,0.21550452709197998,0.061114728450775146,-0.040187991869800044,0.19281259179115295,0.04257768392562866,-0.031153348920099688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
¤©,0.0,0.0,0.0,0.07147890329360962,-0.09182405471801758,0.018606517516815302,0.15321660041809082,-0.08790707588195801,0.020785581373417017,0.20505163073539734,-0.029015183448791504,0.025833925285184023,0.23727047443389893,0.02150517702102661,0.030498268135630724,0.1896294355392456,-0.0843389630317688,-0.041372302866733435,0.2838208079338074,-0.11225676536560059,-0.04393031815365589,0.3366861343383789,-0.13487541675567627,-0.03771005565599239,0.38353943824768066,-0.15539872646331787,-0.034420855290449026,0.18675994873046875,-0.014578819274902344,-0.05134615669325626,0.2961575388908386,-0.015189290046691895,-0.0748799666233424,0.36075037717819214,-0.01788860559463501,-0.08405204857066906,0.41083824634552,-0.019185960292816162,-0.08908551181033886,0.17403852939605713,0.04782974720001221,-0.05259761954025066,0.27191323041915894,0.09550005197525024,-0.07574477041438854,0.3286430239677429,0.1151995062828064,-0.08555539692119396,0.3668649196624756,0.13221651315689087,-0.08845662320331371,0.1576298177242279,0.09572333097457886,-0.047616656816757086,0.22865119576454163,0.09330755472183228,-0.046403970516479376,0.21726450324058533,0.05907940864562988,-0.03204889590219295,0.19518718123435974,0.04058492183685303,-0.022655922866618994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
¤©,0.0,0.0,0.0,0.07571280002593994,-0.08608919382095337,0.010947047632839713,0.16214194893836975,-0.07318341732025146,0.009546507050004038,0.21152716875076294,-0.0008599758148193359,0.012269726854469809,0.24358564615249634,0.0556911826133728,0.014951898616459403,0.18844497203826904,-0.07656437158584595,-0.049622531148884264,0.2864488959312439,-0.10422879457473755,-0.05372618428179976,0.3406703472137451,-0.1263766884803772,-0.047937887820694414,0.3893231153488159,-0.1458801031112671,-0.045432920667622056,0.1857699453830719,-0.006115317344665527,-0.0574354334802365,0.29624223709106445,-0.008956670761108398,-0.08308015680620429,0.3620182275772095,-0.011658072471618652,-0.09439243293115851,0.41368186473846436,-0.012209057807922363,-0.10137037104675528,0.1749986708164215,0.056104063987731934,-0.05707400581547972,0.2748653292655945,0.10261452198028564,-0.08357648468324896,0.3331105709075928,0.12487572431564331,-0.0973310983807778,0.3719620108604431,0.14288556575775146,-0.10317627257416007,0.16230571269989014,0.10225927829742432,-0.05093159815976378,0.23368749022483826,0.0943184494972229,-0.05452759480783698,0.22325176000595093,0.055985987186431885,-0.044480289432499376,0.20242148637771606,0.03570270538330078,-0.038369002851936784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
¤©,0.0,0.0,0.0,0.06631991267204285,-0.0852918028831482,0.01711279532796084,0.14449626207351685,-0.08949631452560425,0.016801917989909043,0.1961153745651245,-0.03966492414474487,0.01826655498629748,0.2267763912677765,0.004155158996582031,0.018474569608628144,0.17841407656669617,-0.10226643085479736,-0.04289489605540098,0.27863946557044983,-0.12220954895019531,-0.04813598834985555,0.3333747088909149,-0.1401273012161255,-0.042111620242536674,0.37842294573783875,-0.16038298606872559,-0.03802345686668218,0.17662426829338074,-0.03736388683319092,-0.056727480078876624,0.2889958322048187,-0.04159414768218994,-0.07967375584954084,0.352385550737381,-0.04467505216598511,-0.08401797332876981,0.4011508524417877,-0.0504382848739624,-0.08441563316696943,0.16692230105400085,0.02537703514099121,-0.06321443238371671,0.2699258029460907,0.06913799047470093,-0.08842485019081892,0.32805612683296204,0.08600032329559326,-0.09583279856556715,0.3696114122867584,0.09548068046569824,-0.09635856368655027,0.14929240942001343,0.07906949520111084,-0.06402127065771879,0.22500690817832947,0.08394676446914673,-0.06719277420157255,0.20850881934165955,0.059154391288757324,-0.05151836567634405,0.1805230975151062,0.04240143299102783,-0.04003383957856954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
¤©,0.0,0.0,0.0,0.07335776090621948,-0.09962686896324158,0.012698703390782384,0.1628406047821045,-0.10394525527954102,0.011130429749613313,0.21862348914146423,-0.04136192798614502,0.013124273103898076,0.2521882653236389,0.011595070362091064,0.013461417463844327,0.19444504380226135,-0.11416250467300415,-0.050073920803839655,0.29597216844558716,-0.1426408588886261,-0.05504856170969674,0.3523280620574951,-0.16528958082199097,-0.05069934861617753,0.4022864103317261,-0.1882745623588562,-0.04934652807074258,0.19345319271087646,-0.03868091106414795,-0.06133744405465791,0.30743712186813354,-0.04752981662750244,-0.08367291750269601,0.37640005350112915,-0.05046123266220093,-0.09348050417261788,0.43052494525909424,-0.05396068096160889,-0.1004839977796621,0.18388235569000244,0.029973328113555908,-0.06475164653616616,0.2911779284477234,0.06624484062194824,-0.09052432985859582,0.3553670048713684,0.08227002620697021,-0.105285666006381,0.40101033449172974,0.0935746431350708,-0.1131415432866163,0.1706351637840271,0.08377856016159058,-0.062317601459795924,0.2434062361717224,0.06762409210205078,-0.06862643273430535,0.22728288173675537,0.03206080198287964,-0.05927035124855706,0.20171386003494263,0.01086735725402832,-0.05387893603997895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
¤©,0.0,0.0,0.0,0.07077355682849884,-0.10091093182563782,0.009222159250072082,0.1602219194173813,-0.11015564203262329,0.007202945271870931,0.21862854063510895,-0.055767059326171875,0.00920432535409077,0.2546224147081375,-0.006254434585571289,0.010107509879759391,0.19548086822032928,-0.11405229568481445,-0.05106521761567251,0.30024971067905426,-0.13867789506912231,-0.05692738285810606,0.3581218272447586,-0.15945523977279663,-0.05251658699066297,0.40775223076343536,-0.1808394491672516,-0.050474710674592416,0.19404800236225128,-0.03706282377243042,-0.06094683697969572,0.31158383190631866,-0.040585100650787354,-0.08445211863667623,0.3812107592821121,-0.042796552181243896,-0.09364555394799368,0.43576498329639435,-0.04719746112823486,-0.09922309583575384,0.1848323792219162,0.03279280662536621,-0.06345969057232992,0.2932465821504593,0.07315200567245483,-0.08835074669272558,0.35683979094028473,0.08874005079269409,-0.10022256887108938,0.4019661098718643,0.09926795959472656,-0.10575130945593969,0.17069052159786224,0.08572649955749512,-0.06097025787980215,0.24358771741390228,0.07425117492675781,-0.0665625966206278,0.22931911051273346,0.04010528326034546,-0.05573585993201391,0.2045910805463791,0.018726766109466553,-0.04866217067987577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
¤©,0.0,0.0,0.0,0.07465119659900665,-0.09283816814422607,0.011057385555574228,0.16261698305606842,-0.09022098779678345,0.007603208846518328,0.21499885618686676,-0.024670898914337158,0.008056206009456446,0.24700938165187836,0.02898615598678589,0.0069288134901910325,0.1933220773935318,-0.09923607110977173,-0.056886782557597826,0.29945461452007294,-0.11913537979125977,-0.06346209129773683,0.3578668683767319,-0.13924652338027954,-0.0583805084832818,0.40830622613430023,-0.15930235385894775,-0.05624678140961237,0.18972085416316986,-0.02461111545562744,-0.06764616599761553,0.3078865259885788,-0.02735215425491333,-0.09533613702737398,0.37926171720027924,-0.02807408571243286,-0.1069204114981801,0.43383626639842987,-0.02902960777282715,-0.1142991163440854,0.17774201929569244,0.04322880506515503,-0.0699868776508481,0.2845637649297714,0.09111273288726807,-0.09902948668681688,0.3485317677259445,0.11120110750198364,-0.11354972204648561,0.39279036223888397,0.12650322914123535,-0.1204193659731061,0.16188941895961761,0.09505301713943481,-0.06637395700894899,0.23518072068691254,0.0860864520072937,-0.07372129491054125,0.21884705126285553,0.0501369833946228,-0.06398885479651995,0.19221104681491852,0.029236674308776855,-0.058094022483459185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
¤©,0.0,0.0,0.0,0.07489129900932312,-0.09392201900482178,0.017073537875234024,0.15989360213279724,-0.0936284065246582,0.016576057020841972,0.21456801891326904,-0.034291982650756836,0.01923438878756656,0.24780485033988953,0.015452921390533447,0.020799878705560104,0.19483643770217896,-0.09814983606338501,-0.05011428920525418,0.29567623138427734,-0.11815926432609558,-0.05666900826591359,0.35315942764282227,-0.1386965811252594,-0.052910171728314026,0.403356671333313,-0.15854528546333313,-0.0516389126886736,0.1896829605102539,-0.02481257915496826,-0.062361877690733536,0.304740846157074,-0.026388227939605713,-0.0907547029663931,0.37583065032958984,-0.026287198066711426,-0.10335401473540173,0.42977696657180786,-0.026178419589996338,-0.11105940518874036,0.1761595904827118,0.04226338863372803,-0.06556562362212048,0.28203266859054565,0.09048765897750854,-0.09405659167069302,0.3447369933128357,0.11107057332992554,-0.10677857724923001,0.388170063495636,0.12657123804092407,-0.1117713826705824,0.15860646963119507,0.09494823217391968,-0.06231539724367963,0.23364639282226562,0.09166401624679565,-0.06735772667425977,0.21770763397216797,0.05746006965637207,-0.05522918356555806,0.1919047236442566,0.03615903854370117,-0.047181882243336304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
¤©,0.0,0.0,0.0,0.07102392613887787,-0.08956247568130493,0.01103499096655014,0.1572001427412033,-0.08916014432907104,0.008739578843346862,0.21386004984378815,-0.03975880146026611,0.0099377868028796,0.2526083439588547,0.00030118227005004883,0.009890237197510032,0.1899731308221817,-0.09367316961288452,-0.05042568470514652,0.2945950776338577,-0.11033427715301514,-0.05596557508386013,0.3520020395517349,-0.12640374898910522,-0.050322669252523156,0.4009373337030411,-0.14311516284942627,-0.04709123696363804,0.1858566850423813,-0.0209009051322937,-0.06040535370982525,0.29821719229221344,-0.01691216230392456,-0.08582559476769802,0.3660057932138443,-0.016142845153808594,-0.09463720272458431,0.41816236078739166,-0.016657710075378418,-0.09919589261687634,0.17346026003360748,0.0450175404548645,-0.06264999012626049,0.2775696665048599,0.09169989824295044,-0.09078772614873287,0.33931221067905426,0.11194151639938354,-0.10217993955291149,0.38235534727573395,0.12674576044082642,-0.10604502509511349,0.1569162756204605,0.09566605091094971,-0.05915396909392712,0.23169170320034027,0.09266924858093262,-0.06538737814105389,0.21827875077724457,0.05815267562866211,-0.0531309011129224,0.19137828052043915,0.036842942237854004,-0.04461011166847584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
¤©,0.0,0.0,0.0,0.07420004904270172,-0.09180557727813721,0.010836471930502967,0.1578659862279892,-0.08811205625534058,0.006725075316040829,0.21142162382602692,-0.026438891887664795,0.00730633608660014,0.24490077793598175,0.02455580234527588,0.006768233735471085,0.1914912909269333,-0.09011822938919067,-0.060339408799649163,0.2937552481889725,-0.10841631889343262,-0.06859090445900051,0.35240794718265533,-0.12661349773406982,-0.06577816127204983,0.4034438282251358,-0.14468032121658325,-0.06480038432741253,0.18510960042476654,-0.016115307807922363,-0.06897929577493755,0.2997981458902359,-0.011262834072113037,-0.09715074567461102,0.3706792742013931,-0.009184122085571289,-0.1093941432085046,0.42434681951999664,-0.008404195308685303,-0.1173015859570512,0.17115665972232819,0.050236523151397705,-0.06867277888918011,0.2731418162584305,0.10294777154922485,-0.0965934869494447,0.33484019339084625,0.12570911645889282,-0.10985055087471096,0.3758803755044937,0.1433849334716797,-0.11573272465133755,0.15491385757923126,0.09988921880722046,-0.06234197957778065,0.22591258585453033,0.09711045026779175,-0.06726725666189282,0.2116108387708664,0.06097877025604248,-0.05610434605145542,0.18649645149707794,0.040082573890686035,-0.0490548339333543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
